symbol,market,name
AEFES.IS,bist,Anadolu Efes
AKBNK.IS,bist,Akbank
AKSA.IS,bist,Aksa Akrilik
AKSEN.IS,bist,Aksa Enerji
ALARK.IS,bist,Alarko Holding
ANSGR.IS,bist,Anadolu Sigorta
ARCLK.IS,bist,Arçelik
ASELS.IS,bist,Aselsan
BIMAS.IS,bist,BIM Mağazalar
BRSAN.IS,bist,Borusan Mannesmann
BRYAT.IS,bist,Borusan Yatırım
CCOLA.IS,bist,Coca-Cola İçecek
CIMSA.IS,bist,Çimsa
DOAS.IS,bist,Doğuş Otomotiv
DOHOL.IS,bist,Doğan Holding
ECILC.IS,bist,Eczacıbaşı İlaç
EKGYO.IS,bist,Emlak Konut GYO
ENKAI.IS,bist,ENKA İnşaat
EREGL.IS,bist,Ereğli Demir Çelik
FENER.IS,bist,Fenerbahçe
FROTO.IS,bist,Ford Otosan
GARAN.IS,bist,Garanti BBVA
GSRAY.IS,bist,Galatasaray Sportif
GUBRF.IS,bist,Gübretaş
TURSG.IS,bist,Türkiye Sigorta
HALKB.IS,bist,Halkbank
HEKTS.IS,bist,Hektaş
IPEKE.IS,bist,İpek Doğal Enerji
ISCTR.IS,bist,Türkiye İş Bankası
ISMEN.IS,bist,İş Yatırım
KCHOL.IS,bist,Koç Holding
KOZAA.IS,bist,Koza Anadolu Madencilik
KOZAL.IS,bist,Koza Altın
KRDMD.IS,bist,Kardemir D
MGROS.IS,bist,Migros
OYAKC.IS,bist,Oyak Çimento
OTKAR.IS,bist,Otokar
PETKM.IS,bist,Petkim
SAHOL.IS,bist,Sabancı Holding
SARKY.IS,bist,Sarkuysan
SASA.IS,bist,SASA Polyester
SISE.IS,bist,Şişecam
SKBNK.IS,bist,Şekerbank
TAVHL.IS,bist,TAV Havalimanları
TCELL.IS,bist,Turkcell
THYAO.IS,bist,Türk Hava Yolları
TKFEN.IS,bist,Tekfen Holding
TOASO.IS,bist,Tofaş
TSKB.IS,bist,TSKB
TTKOM.IS,bist,Türk Telekom
TUKAS.IS,bist,Tukaş
TUPRS.IS,bist,Tüpraş
ULKER.IS,bist,Ülker
VAKBN.IS,bist,Vakıfbank
VESTL.IS,bist,Vestel
YKBNK.IS,bist,Yapı Kredi
ZOREN.IS,bist,Zorlu Enerji
BERA.IS,bist,Bera Holding
PGSUS.IS,bist,Pegasus
ODAS.IS,bist,ODAŞ Elektrik
MAVI.IS,bist,Mavi Giyim
ENJSA.IS,bist,Enerjisa Enerji
MPARK.IS,bist,MLP Sağlık
SOKM.IS,bist,Şok Marketler
QUAGR.IS,bist,Qua Granite
GENIL.IS,bist,Gen İlaç
GESAN.IS,bist,Girişim Elektrik
MAGEN.IS,bist,Margün Enerji
MIATK.IS,bist,Mia Teknoloji
PSGYO.IS,bist,Pasifik GYO
ASTOR.IS,bist,Astor Enerji
CVKMD.IS,bist,CVK Maden
EUPWR.IS,bist,Europower Enerji
CWENE.IS,bist,CW Enerji
REEDR.IS,bist,Reeder Teknoloji
ALTNY.IS,bist,Altınay Savunma
BASCM.IS,bist,Batıçim
BSOKE.IS,bist,Batısöke
BISAS.IS,bist,Ral Yatırım
KUYAS.IS,bist,Kuyaş Yatırım
